Address,SqFt,Calc_Flg
10558 S WENTWORTH AVE,"1,000",
1140 W 103RD ST,"2,000",
11534 S FRONT AVE,"1,600",
11610 S WESTERN AVE,"2,000 ",
1167 W 18TH ST,"6,750 ",
121 E 43RD ST,,
12251 S HALSTED ST,"1,000",
12300 S NORMAL AVE,,
1233 N WELLS ST,"44,444",
12341 S HALSTED ST,"6,000",
12847 S HALSTED ST,"2,161",1
1315 E 75TH ST,888,
1357 E 75TH ST,,
1420 W 95TH ST,"5,143",1
1500 N WELLS ST,"10,234",
1550 S PULASKI RD,1000,
1600 S CHRISTIANA AVE,,
1626 W 79TH ST,"10,080",
1632 W 79TH ST,"2,000",1
1633 N HALSTED ST,"7,000",
1637 N HALSTED ST,,
1641 N HALSTED ST,"12,600 ",
1818 E 79TH ST,,
1933 W CERMAK RD," 8,000",
1960 E 79TH ST,,
2001 W 71ST ST,"1,050 ",
2053 E 79TH ST,"3,053",1
2115 N MILWAUKEE AVE,,
2139 W PERSHING RD,"18,051",1
220 S STATE ST,"64,400 ",
222 W 75TH ST,,
2321 S KILDARE AVE,"1,218",
2410 N CENTRAL AVE,,
2424 W TOUHY AVE,"25,433",
2758 S RIDGEWAY AVE,"4,400",
2759 N LEAVITT ST,,
2759 N OAK PARK AVE,"11,200 ",
2802 E 77TH ST,"1,060 ",
3007 E 100TH ST,"1,725",1
3065 S LAKE PARK AVE,,
313 W CHESTNUT ST,13750,
315 S GREEN ST,"2,498",1
3175 W MADISON ST,,
3204 N OAK PARK AVE,"13,302",1
3356 W CHICAGO AVE,"7,301",1
3404 N CLARK ST,885,1
3425 W IRVING PARK RD,,
3659 W ADDISON ST,,
3711 W LAWRENCE AVE,3000,
3847 N CICERO AVE,"3,125",
4053 N MILWAUKEE AVE,,
451 N UNION AVE,"1,660 ",
4525 N KENMORE AVE,,
459 N UNION AVE,,
461 N UNION AVE,,
4832 W 47TH ST,"5,872",1
5030 W LAWRENCE AVE,"7,500",
5300 S HERMITAGE AVE,,
5305 W DIVERSEY AVE,"2,498",1
5717 S ASHLAND AVE,,
5909 N LINCOLN AVE,"2,338",1
601 W DIVERSEY AVE,"6,440",1
637 N CLARK ST,"2,554",1
6425 W BELMONT AVE,"3,360",
6900 S WESTERN AVE,"5,008",1
7024 S RACINE AVE,"2,166",
7500 S CRANDON AVE,,
7630 N ROGERS AVE,,
7849 S CONSTANCE AVE,,
7907 S ELIZABETH ST,,
7907 S LAFLIN ST,13680,
800 W 81ST ST,,
810 W 18TH ST,"1,752",
8235 S SOUTH SHORE DR,,
828 W GRACE ST,108000,
8702 S SAGINAW AVE,,
8709 S LAFLIN ST,"1,382",1
906 S CENTRAL PARK AVE,2880,
955 E 79TH ST,"1,770 ",1
4 E 103RD ST,"4,400",
